topic;AMSTAR_levels_2;Q1;Q2;Q3;Q4;Q5;Q6;Q7;Q8;Q9;Q10;Q11;journal;Journal_2;num_publications;year
all;moderate_quality;1;1;1;0;0;1;1;1;1;1;0;Acta Dermato-Venereologica;Acta Derm Venereol;3;2015
all;low_quality;1;1;1;1;0;0;0;0;0;0;0;Acta Dermato-Venereologica;Acta Derm Venereol;3;2012
all;low_quality;0;0;1;0;0;1;0;0;0;0;1;Acta Dermato-Venereologica;Acta Derm Venereol;3;2011
all;moderate_quality;0;1;1;0;0;1;1;1;1;0;1;American Journal of Clinical Dermatology;Am J Clin Dermatol;5;2013
all;moderate_quality;0;0;1;1;0;1;1;1;0;0;1;American Journal of Clinical Dermatology;Am J Clin Dermatol;5;2006
all;moderate_quality;1;0;0;0;0;1;0;0;1;1;1;American Journal of Clinical Dermatology;Am J Clin Dermatol;5;2012
all;low_quality;0;0;0;0;0;1;0;0;0;0;1;American Journal of Clinical Dermatology;Am J Clin Dermatol;5;2014
all;low_quality;0;0;0;0;0;1;0;0;0;0;1;American Journal of Clinical Dermatology;Am J Clin Dermatol;5;2009
treatment;moderate_quality;0;1;1;0;0;1;1;1;1;0;1;American Journal of Clinical Dermatology;Am J Clin Dermatol;3;2013
treatment;low_quality;0;0;0;0;0;1;0;0;0;0;1;American Journal of Clinical Dermatology;Am J Clin Dermatol;3;2014
treatment;low_quality;0;0;0;0;0;1;0;0;0;0;1;American Journal of Clinical Dermatology;Am J Clin Dermatol;3;2009
all;moderate_quality;1;1;1;0;0;1;1;1;1;1;0;Archives of Dermatological Research;Arch Dermatol Res;2;2013
all;moderate_quality;0;0;1;1;0;1;0;0;1;1;0;Archives of Dermatological Research;Arch Dermatol Res;2;2012
treatment;moderate_quality;1;1;1;0;0;1;1;1;1;1;0;Archives of Dermatological Research;Arch Dermatol Res;2;2013
treatment;moderate_quality;0;0;1;1;0;1;0;0;1;1;0;Archives of Dermatological Research;Arch Dermatol Res;2;2012
all;high_quality;1;1;1;1;1;1;1;1;1;0;1;British Journal of Dermatology;Br J Dermatol;32;2015
all;high_quality;1;1;1;0;1;1;1;1;1;1;1;British Journal of Dermatology;Br J Dermatol;32;2014
all;high_quality;1;1;1;1;0;1;1;1;1;0;1;British Journal of Dermatology;Br J Dermatol;32;2016
all;high_quality;1;1;1;0;1;1;1;1;1;0;1;British Journal of Dermatology;Br J Dermatol;32;2015
all;high_quality;1;1;1;1;1;1;1;1;0;0;1;British Journal of Dermatology;Br J Dermatol;32;2014
all;high_quality;1;1;1;1;0;1;1;1;1;0;1;British Journal of Dermatology;Br J Dermatol;32;2013
all;high_quality;0;1;1;1;0;1;1;1;1;1;1;British Journal of Dermatology;Br J Dermatol;32;2013
all;high_quality;1;1;1;0;0;1;1;1;1;1;1;British Journal of Dermatology;Br J Dermatol;32;2013
all;high_quality;1;1;1;0;0;1;1;1;1;1;1;British Journal of Dermatology;Br J Dermatol;32;2013
all;high_quality;1;1;1;1;0;1;1;1;1;0;1;British Journal of Dermatology;Br J Dermatol;32;2013
all;moderate_quality;0;1;1;0;0;1;1;1;1;1;1;British Journal of Dermatology;Br J Dermatol;32;2014
all;moderate_quality;0;1;1;0;0;1;1;1;1;1;1;British Journal of Dermatology;Br J Dermatol;32;2012
all;moderate_quality;0;1;1;1;0;1;1;1;1;0;1;British Journal of Dermatology;Br J Dermatol;32;2008
all;moderate_quality;1;1;1;0;0;1;1;1;0;0;1;British Journal of Dermatology;Br J Dermatol;32;2015
all;moderate_quality;0;1;1;0;0;1;1;1;1;0;1;British Journal of Dermatology;Br J Dermatol;32;2014
all;moderate_quality;0;0;1;1;1;1;1;1;1;0;0;British Journal of Dermatology;Br J Dermatol;32;2009
all;moderate_quality;1;0;1;1;0;1;1;1;1;0;0;British Journal of Dermatology;Br J Dermatol;32;2008
all;moderate_quality;0;0;1;1;0;1;1;1;1;0;1;British Journal of Dermatology;Br J Dermatol;32;2002
all;moderate_quality;1;1;1;1;0;1;0;0;0;0;1;British Journal of Dermatology;Br J Dermatol;32;2016
all;moderate_quality;0;1;1;0;0;1;1;1;0;0;1;British Journal of Dermatology;Br J Dermatol;32;2014
all;moderate_quality;1;0;1;0;0;1;1;1;0;0;1;British Journal of Dermatology;Br J Dermatol;32;2013
all;moderate_quality;0;1;1;0;0;1;1;1;0;0;1;British Journal of Dermatology;Br J Dermatol;32;2013
all;moderate_quality;0;0;1;1;0;1;1;1;0;0;1;British Journal of Dermatology;Br J Dermatol;32;2012
all;moderate_quality;0;0;0;0;0;1;1;1;1;0;1;British Journal of Dermatology;Br J Dermatol;32;2015
all;moderate_quality;0;0;1;0;0;1;1;1;0;0;1;British Journal of Dermatology;Br J Dermatol;32;2013
all;moderate_quality;0;0;1;0;0;1;0;0;1;1;1;British Journal of Dermatology;Br J Dermatol;32;2013
all;moderate_quality;0;0;1;1;0;1;1;1;0;0;0;British Journal of Dermatology;Br J Dermatol;32;2002
all;moderate_quality;0;0;1;1;0;1;0;0;1;0;1;British Journal of Dermatology;Br J Dermatol;32;2001
all;moderate_quality;0;1;0;1;0;1;0;0;1;1;0;British Journal of Dermatology;Br J Dermatol;32;1997
all;low_quality;1;0;1;0;0;1;0;0;0;0;1;British Journal of Dermatology;Br J Dermatol;32;2015
all;low_quality;0;0;1;1;0;1;0;0;0;0;1;British Journal of Dermatology;Br J Dermatol;32;2001
all;low_quality;0;0;1;1;0;0;0;0;0;0;1;British Journal of Dermatology;Br J Dermatol;32;2001
treatment;high_quality;1;1;1;1;1;1;1;1;1;0;1;British Journal of Dermatology;Br J Dermatol;22;2015
treatment;high_quality;1;1;1;0;1;1;1;1;1;1;1;British Journal of Dermatology;Br J Dermatol;22;2014
treatment;high_quality;1;1;1;1;0;1;1;1;1;0;1;British Journal of Dermatology;Br J Dermatol;22;2016
treatment;high_quality;1;1;1;0;1;1;1;1;1;0;1;British Journal of Dermatology;Br J Dermatol;22;2015
treatment;high_quality;1;1;1;1;0;1;1;1;1;0;1;British Journal of Dermatology;Br J Dermatol;22;2013
treatment;high_quality;1;1;1;1;0;1;1;1;1;0;1;British Journal of Dermatology;Br J Dermatol;22;2013
treatment;moderate_quality;0;1;1;1;0;1;1;1;1;0;1;British Journal of Dermatology;Br J Dermatol;22;2008
treatment;moderate_quality;1;1;1;0;0;1;1;1;0;0;1;British Journal of Dermatology;Br J Dermatol;22;2015
treatment;moderate_quality;0;1;1;0;0;1;1;1;1;0;1;British Journal of Dermatology;Br J Dermatol;22;2014
treatment;moderate_quality;0;0;1;1;1;1;1;1;1;0;0;British Journal of Dermatology;Br J Dermatol;22;2009
treatment;moderate_quality;1;0;1;1;0;1;1;1;1;0;0;British Journal of Dermatology;Br J Dermatol;22;2008
treatment;moderate_quality;0;0;1;1;0;1;1;1;1;0;1;British Journal of Dermatology;Br J Dermatol;22;2002
treatment;moderate_quality;0;1;1;0;0;1;1;1;0;0;1;British Journal of Dermatology;Br J Dermatol;22;2014
treatment;moderate_quality;1;0;1;0;0;1;1;1;0;0;1;British Journal of Dermatology;Br J Dermatol;22;2013
treatment;moderate_quality;0;1;1;0;0;1;1;1;0;0;1;British Journal of Dermatology;Br J Dermatol;22;2013
treatment;moderate_quality;0;0;1;1;0;1;1;1;0;0;1;British Journal of Dermatology;Br J Dermatol;22;2012
treatment;moderate_quality;0;0;0;0;0;1;1;1;1;0;1;British Journal of Dermatology;Br J Dermatol;22;2015
treatment;moderate_quality;0;0;1;1;0;1;1;1;0;0;0;British Journal of Dermatology;Br J Dermatol;22;2002
treatment;moderate_quality;0;0;1;1;0;1;0;0;1;0;1;British Journal of Dermatology;Br J Dermatol;22;2001
treatment;moderate_quality;0;1;0;1;0;1;0;0;1;1;0;British Journal of Dermatology;Br J Dermatol;22;1997
treatment;low_quality;0;0;1;1;0;1;0;0;0;0;1;British Journal of Dermatology;Br J Dermatol;22;2001
treatment;low_quality;0;0;1;1;0;0;0;0;0;0;1;British Journal of Dermatology;Br J Dermatol;22;2001
all;high_quality;0;1;1;1;0;1;1;1;1;1;1;Clinical and Experimental Dermatology;Clin Exp Dermatol;3;2014
all;moderate_quality;0;1;1;0;0;1;0;0;1;1;1;Clinical and Experimental Dermatology;Clin Exp Dermatol;3;2013
all;moderate_quality;0;1;1;0;0;1;0;0;1;1;0;Clinical and Experimental Dermatology;Clin Exp Dermatol;3;2013
treatment;high_quality;0;1;1;1;0;1;1;1;1;1;1;Clinical and Experimental Dermatology;Clin Exp Dermatol;1;2014
all;low_quality;0;0;1;1;0;1;0;0;0;0;0;Dermatology Online Journal;Dermatol Online J;1;2003
treatment;low_quality;0;0;1;1;0;1;0;0;0;0;0;Dermatology Online Journal;Dermatol Online J;1;2003
all;low_quality;0;0;1;0;0;1;0;0;0;0;1;Dermatology and Therapy;Dermatol Ther (Heidelb);1;2015
treatment;low_quality;0;0;1;0;0;1;0;0;0;0;1;Dermatology and Therapy;Dermatol Ther (Heidelb);1;2015
all;moderate_quality;0;1;1;1;0;1;1;1;0;0;1;Dermatology;Dermatology;1;2009
treatment;moderate_quality;0;1;1;1;0;1;1;1;0;0;1;Dermatology;Dermatology;1;2009
all;moderate_quality;0;1;1;0;0;1;1;1;1;1;1;Indian Journal of Dermatology, Venereology and Leprology;Indian J Dermatol Venereol Leprol;3;2016
all;moderate_quality;0;1;1;0;0;1;1;1;1;0;1;Indian Journal of Dermatology, Venereology and Leprology;Indian J Dermatol Venereol Leprol;3;2016
all;low_quality;0;0;1;0;0;0;1;0;0;0;1;Indian Journal of Dermatology, Venereology and Leprology;Indian J Dermatol Venereol Leprol;3;2009
treatment;moderate_quality;0;1;1;0;0;1;1;1;1;0;1;Indian Journal of Dermatology, Venereology and Leprology;Indian J Dermatol Venereol Leprol;2;2016
treatment;low_quality;0;0;1;0;0;0;1;0;0;0;1;Indian Journal of Dermatology, Venereology and Leprology;Indian J Dermatol Venereol Leprol;2;2009
all;high_quality;1;1;1;1;0;1;1;1;1;0;1;International Journal of Dermatology;Int J Dermatol;2;2014
all;moderate_quality;0;0;1;1;0;1;0;0;1;1;1;International Journal of Dermatology;Int J Dermatol;2;2013
treatment;high_quality;1;1;1;1;0;1;1;1;1;0;1;International Journal of Dermatology;Int J Dermatol;1;2014
all;high_quality;1;1;1;1;1;1;1;1;1;0;1;Journal of the American Academy of Dermatology;J Am Acad Dermatol;11;2013
all;high_quality;0;0;1;1;1;1;1;1;1;1;1;Journal of the American Academy of Dermatology;J Am Acad Dermatol;11;2013
all;high_quality;1;1;1;0;0;1;1;1;1;1;1;Journal of the American Academy of Dermatology;J Am Acad Dermatol;11;2013
all;high_quality;1;0;1;1;0;1;1;1;1;1;1;Journal of the American Academy of Dermatology;J Am Acad Dermatol;11;2011
all;moderate_quality;1;1;1;1;0;1;1;1;0;0;1;Journal of the American Academy of Dermatology;J Am Acad Dermatol;11;2015
all;moderate_quality;0;1;1;1;1;1;1;0;0;0;1;Journal of the American Academy of Dermatology;J Am Acad Dermatol;11;2010
all;moderate_quality;0;1;1;0;0;1;0;0;1;0;1;Journal of the American Academy of Dermatology;J Am Acad Dermatol;11;2015
all;low_quality;0;0;1;1;0;1;0;0;0;0;1;Journal of the American Academy of Dermatology;J Am Acad Dermatol;11;2016
all;low_quality;0;0;0;0;0;1;1;1;0;0;1;Journal of the American Academy of Dermatology;J Am Acad Dermatol;11;2013
all;low_quality;0;0;1;0;0;1;1;1;0;0;0;Journal of the American Academy of Dermatology;J Am Acad Dermatol;11;2009
all;low_quality;0;0;0;0;0;1;0;0;0;0;0;Journal of the American Academy of Dermatology;J Am Acad Dermatol;11;2013
treatment;high_quality;1;1;1;1;1;1;1;1;1;0;1;Journal of the American Academy of Dermatology;J Am Acad Dermatol;7;2013
treatment;high_quality;1;0;1;1;0;1;1;1;1;1;1;Journal of the American Academy of Dermatology;J Am Acad Dermatol;7;2011
treatment;moderate_quality;1;1;1;1;0;1;1;1;0;0;1;Journal of the American Academy of Dermatology;J Am Acad Dermatol;7;2015
treatment;moderate_quality;0;1;1;1;1;1;1;0;0;0;1;Journal of the American Academy of Dermatology;J Am Acad Dermatol;7;2010
treatment;low_quality;0;0;1;1;0;1;0;0;0;0;1;Journal of the American Academy of Dermatology;J Am Acad Dermatol;7;2016
treatment;low_quality;0;0;0;0;0;1;1;1;0;0;1;Journal of the American Academy of Dermatology;J Am Acad Dermatol;7;2013
treatment;low_quality;0;0;1;0;0;1;1;1;0;0;0;Journal of the American Academy of Dermatology;J Am Acad Dermatol;7;2009
all;moderate_quality;1;0;1;0;0;1;1;1;0;0;1;Journal of Cutaneous Medicine and Surgery;J Cutan Med Surg;3;2015
all;moderate_quality;0;0;1;1;0;1;1;1;1;0;0;Journal of Cutaneous Medicine and Surgery;J Cutan Med Surg;3;2014
all;low_quality;0;0;1;0;0;1;0;0;0;0;1;Journal of Cutaneous Medicine and Surgery;J Cutan Med Surg;3;2016
all;high_quality;1;1;1;1;0;1;1;1;1;0;1;Journal of Dermatology;J Dermatol;4;2012
all;moderate_quality;0;0;1;1;0;1;1;1;1;1;1;Journal of Dermatology;J Dermatol;4;2016
all;moderate_quality;0;1;1;0;0;1;0;0;1;1;1;Journal of Dermatology;J Dermatol;4;2013
all;low_quality;1;0;0;0;0;1;0;0;0;0;1;Journal of Dermatology;J Dermatol;4;2012
treatment;high_quality;1;1;1;1;0;1;1;1;1;0;1;Journal of Dermatology;J Dermatol;2;2012
treatment;low_quality;1;0;0;0;0;1;0;0;0;0;1;Journal of Dermatology;J Dermatol;2;2012
all;high_quality;1;1;1;0;0;1;1;1;1;1;1;Journal of Dermatological Treatment;J Dermatolog Treat;5;2015
all;moderate_quality;1;1;1;1;1;1;1;1;0;0;0;Journal of Dermatological Treatment;J Dermatolog Treat;5;2016
all;moderate_quality;0;0;1;1;0;1;1;1;1;0;1;Journal of Dermatological Treatment;J Dermatolog Treat;5;2011
all;low_quality;0;0;0;0;0;1;0;0;0;0;1;Journal of Dermatological Treatment;J Dermatolog Treat;5;2013
all;low_quality;0;0;0;0;1;1;0;0;0;0;0;Journal of Dermatological Treatment;J Dermatolog Treat;5;2007
treatment;moderate_quality;1;1;1;1;1;1;1;1;0;0;0;Journal of Dermatological Treatment;J Dermatolog Treat;3;2016
treatment;moderate_quality;0;0;1;1;0;1;1;1;1;0;1;Journal of Dermatological Treatment;J Dermatolog Treat;3;2011
treatment;low_quality;0;0;0;0;0;1;0;0;0;0;1;Journal of Dermatological Treatment;J Dermatolog Treat;3;2013
all;moderate_quality;0;1;1;1;0;1;1;0;0;0;0;Journal of the German Society of Dermatology;J Dtsch Dermatol Ges;2;2015
all;low_quality;0;0;1;0;0;1;1;1;0;0;0;Journal of the German Society of Dermatology;J Dtsch Dermatol Ges;2;2014
treatment;moderate_quality;0;1;1;1;0;1;1;0;0;0;0;Journal of the German Society of Dermatology;J Dtsch Dermatol Ges;2;2015
treatment;low_quality;0;0;1;0;0;1;1;1;0;0;0;Journal of the German Society of Dermatology;J Dtsch Dermatol Ges;2;2014
all;high_quality;1;1;1;1;0;1;1;1;1;1;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;32;2013
all;high_quality;0;1;1;1;0;1;1;1;1;1;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;32;2015
all;moderate_quality;1;0;1;0;0;1;1;1;1;1;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;32;2014
all;moderate_quality;1;0;1;0;0;1;1;1;1;1;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;32;2014
all;moderate_quality;1;1;1;0;0;1;1;1;1;0;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;32;2013
all;moderate_quality;1;1;1;0;0;1;1;1;0;0;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;32;2015
all;moderate_quality;1;1;1;0;0;1;1;1;0;0;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;32;2014
all;moderate_quality;0;1;1;0;0;1;1;1;1;0;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;32;2013
all;moderate_quality;1;1;1;0;0;1;1;0;1;0;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;32;2012
all;moderate_quality;0;0;1;1;0;1;1;1;0;0;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;32;2015
all;moderate_quality;0;0;1;0;0;1;1;1;1;0;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;32;2014
all;moderate_quality;1;1;1;0;0;0;1;1;0;0;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;32;2014
all;moderate_quality;0;1;1;0;0;1;1;1;0;0;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;32;2013
all;moderate_quality;0;1;1;0;0;1;1;1;0;0;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;32;2010
all;moderate_quality;0;0;1;0;0;1;1;1;0;0;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;32;2014
all;moderate_quality;1;0;1;0;0;1;0;0;1;0;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;32;2012
all;moderate_quality;1;0;1;0;0;1;0;0;1;0;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;32;2012
all;moderate_quality;1;1;1;0;0;1;0;0;0;0;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;32;2012
all;moderate_quality;1;1;1;0;0;1;0;0;0;0;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;32;2012
all;moderate_quality;1;0;1;0;0;1;0;0;1;0;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;32;2011
all;moderate_quality;1;1;1;0;0;0;0;0;1;0;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;32;2011
all;low_quality;0;1;1;0;0;1;0;0;0;0;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;32;2015
all;low_quality;1;0;0;0;0;0;1;1;0;0;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;32;2013
all;low_quality;1;1;1;0;0;0;0;0;0;0;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;32;2013
all;low_quality;0;1;1;0;0;1;0;0;0;0;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;32;2013
all;low_quality;0;1;1;0;0;1;0;0;0;0;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;32;2012
all;low_quality;1;0;1;0;0;1;0;0;0;0;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;32;2012
all;low_quality;0;1;1;0;0;1;0;0;0;0;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;32;2010
all;low_quality;1;0;0;0;0;0;0;0;1;0;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;32;2012
all;low_quality;0;0;1;0;0;1;0;0;0;0;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;32;2012
all;low_quality;1;0;1;0;0;0;0;0;0;0;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;32;2010
all;low_quality;0;0;0;0;0;1;0;0;0;0;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;32;2014
treatment;moderate_quality;1;0;1;0;0;1;1;1;1;1;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;18;2014
treatment;moderate_quality;1;1;1;0;0;1;1;1;0;0;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;18;2015
treatment;moderate_quality;1;1;1;0;0;1;1;0;1;0;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;18;2012
treatment;moderate_quality;0;0;1;1;0;1;1;1;0;0;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;18;2015
treatment;moderate_quality;0;1;1;0;0;1;1;1;0;0;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;18;2013
treatment;moderate_quality;0;0;1;0;0;1;1;1;0;0;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;18;2014
treatment;moderate_quality;1;0;1;0;0;1;0;0;1;0;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;18;2012
treatment;moderate_quality;1;0;1;0;0;1;0;0;1;0;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;18;2012
treatment;moderate_quality;1;1;1;0;0;1;0;0;0;0;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;18;2012
treatment;moderate_quality;1;1;1;0;0;1;0;0;0;0;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;18;2012
treatment;moderate_quality;1;0;1;0;0;1;0;0;1;0;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;18;2011
treatment;moderate_quality;1;1;1;0;0;0;0;0;1;0;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;18;2011
treatment;low_quality;0;1;1;0;0;1;0;0;0;0;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;18;2013
treatment;low_quality;0;1;1;0;0;1;0;0;0;0;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;18;2012
treatment;low_quality;1;0;1;0;0;1;0;0;0;0;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;18;2012
treatment;low_quality;1;0;0;0;0;0;0;0;1;0;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;18;2012
treatment;low_quality;0;0;1;0;0;1;0;0;0;0;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;18;2012
treatment;low_quality;0;0;0;0;0;1;0;0;0;0;1;Journal of the European Academy of Dermatology and Venereology;J Eur Acad Dermatol Venereol;18;2014
all;high_quality;1;1;1;0;1;1;1;1;1;1;1;Journal of Investigative Dermatology;J Invest Dermatol;5;2015
all;high_quality;1;0;1;1;1;1;1;1;1;1;0;Journal of Investigative Dermatology;J Invest Dermatol;5;2014
all;high_quality;1;1;1;1;0;1;1;1;1;0;1;Journal of Investigative Dermatology;J Invest Dermatol;5;2013
all;low_quality;1;0;0;0;0;1;0;0;0;0;1;Journal of Investigative Dermatology;J Invest Dermatol;5;2013
all;low_quality;0;1;1;1;0;0;0;0;0;0;0;Journal of Investigative Dermatology;J Invest Dermatol;5;2010
treatment;high_quality;1;1;1;1;1;1;1;1;1;1;1;Journal of Investigative Dermatology;J Invest Dermatol;1;2015
treatment;high_quality;1;1;1;1;0;1;1;1;1;0;1;JAMA Dermatol (Arch Dermatol);JAMA Dermatol (Arch Dermatol);5;2012
treatment;moderate_quality;1;0;1;1;1;1;0;0;1;0;1;JAMA Dermatol (Arch Dermatol);JAMA Dermatol (Arch Dermatol);5;2000
treatment;moderate_quality;0;1;1;1;0;1;0;0;1;1;0;JAMA Dermatol (Arch Dermatol);JAMA Dermatol (Arch Dermatol);5;2012
treatment;moderate_quality;1;1;1;1;0;1;0;1;0;0;0;JAMA Dermatol (Arch Dermatol);JAMA Dermatol (Arch Dermatol);5;1999
all;moderate_quality;1;1;1;1;0;1;1;1;1;0;0;JAMA Dermatol (Arch Dermatol);JAMA Dermatol (Arch Dermatol);6;2014
all;moderate_quality;0;1;1;0;0;1;1;1;1;1;0;JAMA Dermatol (Arch Dermatol);JAMA Dermatol (Arch Dermatol);6;2013
all;high_quality;1;1;1;1;0;1;1;1;1;0;1;JAMA Dermatol (Arch Dermatol);JAMA Dermatol (Arch Dermatol);6;2012
all;moderate_quality;1;0;1;1;1;1;0;0;1;0;1;JAMA Dermatol (Arch Dermatol);JAMA Dermatol (Arch Dermatol);6;2000
all;moderate_quality;0;1;1;1;0;1;0;0;1;1;0;JAMA Dermatol (Arch Dermatol);JAMA Dermatol (Arch Dermatol);6;2012
all;moderate_quality;1;1;1;1;0;1;0;1;0;0;0;JAMA Dermatol (Arch Dermatol);JAMA Dermatol (Arch Dermatol);6;1999
treatment;moderate_quality;1;1;1;1;0;1;1;1;1;0;0;JAMA Dermatol (Arch Dermatol);JAMA Dermatol (Arch Dermatol);5;2014
all;moderate_quality;0;1;1;0;0;1;1;1;0;0;0;Pediatric Dermatology;Pediatr Dermatol;2;2012
all;low_quality;0;0;1;0;0;1;0;0;0;0;0;Pediatric Dermatology;Pediatr Dermatol;2;2014
treatment;moderate_quality;0;1;1;0;0;1;1;1;0;0;0;Pediatric Dermatology;Pediatr Dermatol;2;2012
treatment;low_quality;0;0;1;0;0;1;0;0;0;0;0;Pediatric Dermatology;Pediatr Dermatol;2;2014
all;moderate_quality;0;1;1;0;0;0;1;1;1;0;0;Photodermatology Photoimmunology and Photomedicine;Photodermatol Photoimmunol Photomed;1;2015
treatment;moderate_quality;0;1;1;0;0;0;1;1;1;0;0;Photodermatology Photoimmunology and Photomedicine;Photodermatol Photoimmunol Photomed;1;2015
